Sample	posterior	likelihood	prior	NC	r	tau	x	tree.height	tree.treeLength	D.treeLikelihood
65000	-33419.00827341048	-33170.40705744218	-248.60121596829842	778.8535701689998	0.32229559294163834	62.26912248523313	29.13765000055793	48.27239344080567	1074.4642923591828	-33170.40705744218
66000	-33414.69686446137	-33165.773052951205	-248.92381151017088	1053.1234232745321	0.3586322438040905	68.85235525254998	31.34937848643854	50.14375613379997	1102.3995509133736	-33165.773052951205
67000	-33415.89791465901	-33167.590065898345	-248.30784876066815	819.1942780610378	0.3523432772317406	60.516485685518646	31.656688611953275	51.14167428564494	1131.2531629764064	-33167.590065898345
68000	-33406.09411457271	-33159.16298209932	-246.93113247339676	821.1371757211351	0.37821096810941796	59.59926880521996	31.656688611953275	48.70691174440269	1094.59314253124	-33159.16298209932
69000	-33414.46742342556	-33167.298968709474	-247.16845471608312	519.8486828165042	0.3799027077476292	71.67944422114799	31.656688611953275	47.850325730531004	1081.2181446829902	-33167.298968709474
70000	-33416.938806945764	-33169.24061531223	-247.69819163353236	535.4330230075262	0.3625470708562892	62.246130617533176	31.656688611953275	48.27330571978291	1081.372867728813	-33169.24061531223
71000	-33411.44142264198	-33165.099691381816	-246.3417312601673	592.641685651869	0.36289394125823937	59.49377399565602	31.656688611953275	47.822133073209955	1083.0228141451355	-33165.099691381816
72000	-33410.998831081815	-33163.25699855434	-247.7418325274801	880.7013647702756	0.36328011128240123	71.03476094568673	31.06852833178188	46.63245042612205	1072.9461629239204	-33163.25699855434
73000	-33408.32375294202	-33161.68684737917	-246.63690556285303	681.5905454957464	0.3804039741967535	60.516538072110485	31.06852833178188	47.100944648104814	1074.2415890552152	-33161.68684737917
74000	-33409.93774963929	-33163.99884009819	-245.93890954110003	764.9236389574618	0.3678973929801488	71.29667133052199	31.06852833178188	47.76729610164671	1098.6207460042046	-33163.99884009819
75000	-33417.36892883814	-33168.424346163076	-248.94458267506448	1016.4579744370658	0.31774147004776393	60.83241521831469	31.06852833178188	49.23041301744159	1110.9433931721087	-33168.424346163076
76000	-33408.028228099625	-33158.4142181019	-249.61400999772926	771.717447765318	0.4027105655967057	67.00654568452708	31.06852833178188	48.8189385725832	1089.1450949545513	-33158.4142181019
77000	-33408.122429335184	-33163.16263559215	-244.95979374303843	809.2575463231883	0.429714740667137	65.0601162341438	31.487615409704617	47.37160865931831	1086.6986746884581	-33163.16263559215
78000	-33413.28906790853	-33163.50822186293	-249.78084604560146	497.63835179589563	0.2949244590278413	71.50750649972377	31.487615409704617	48.903314159000146	1110.0151285508389	-33163.50822186293
79000	-33415.66480911657	-33168.9301497963	-246.73465932026474	795.1161985184262	0.3372940107630356	71.50750649972377	31.487615409704617	48.81673956143581	1089.1057181178326	-33168.9301497963
80000	-33410.78353076252	-33164.054868294545	-246.7286624679765	818.2991651868626	0.3870405290734817	61.65988190607266	31.487615409704617	47.37145628450048	1078.0167022829105	-33164.054868294545
81000	-33417.75356094501	-33171.845520829265	-245.9080401157513	731.3498167553524	0.37734788524172297	69.23174316112352	31.487615409704617	47.680852816629105	1076.4028838775218	-33171.845520829265
82000	-33413.56997647739	-33167.28409600134	-246.2858804760489	724.0087213147715	0.3721195807300107	69.17161916979401	31.487615409704617	48.88544657950918	1104.637405283756	-33167.28409600134
83000	-33417.06446796454	-33169.28104039021	-247.78342757433052	709.3870965534923	0.33746108252753565	69.17161916979401	31.487615409704617	47.755045165200876	1074.9284745607329	-33169.28104039021
84000	-33415.74478647722	-33167.520769200884	-248.22401727633635	563.1717926862519	0.3344104014116078	69.66255870101561	31.487615409704617	48.60467228469477	1095.9258161706139	-33167.520769200884
85000	-33405.401336859795	-33156.3249093447	-249.07642751509195	593.4374381016758	0.3360667048155375	72.76824300672698	30.508855924076595	48.62113919101006	1091.7415193476354	-33156.3249093447
